filename	promotion	nomination
12 Phantasmagoria (video game)	08:41, 16 April 2017	16:32, 17 February 2017
13 Resident Evil 5	08:56, 16 April 2017	23:55, 28 January 2017
14 Operation Grandslam	19:09, 14 April 2017	05:32, 13 March 2017
15 Simone Russell	19:01, 14 April 2017	22:23, 11 March 2017
16 The Chase (U.S. game show)	10:28, 13 April 2017	16:56, 14 February 2017
17 Nine Stones, Winterbourne Abbas	22:14, 12 April 2017	12:18, 27 March 2017
18 Yugoslav torpedo boat T3	21:58, 12 April 2017	06:15, 11 March 2017
19 INS Vikrant (R11)	21:50, 12 April 2017	04:59, 12 February 2017
20 Don't Stop the Music (Rihanna song)	21:21, 12 April 2017	10:14, 26 January 2017
21 HMS St Vincent (1908)	17:17, 9 April 2017	16:04, 28 March 2017
22 Operation Bernhard	17:08, 9 April 2017	11:53, 28 March 2017
23 Donkey Kong 64	15:57, 9 April 2017	03:23, 5 March 2017
24 Naruto Uzumaki	12:42, 9 April 2017	02:06, 18 February 2017
25 Clare Stevenson	20:53, 5 April 2017	12:01, 11 March 2017
26 The Portage to San Cristobal of A.H.	20:53, 5 April 2017	07:02, 8 February 2017
27 The Founding Ceremony of the Nation	22:21, 3 April 2017	20:02, 19 March 2017
28 HMS Levant (1758)	21:57, 3 April 2017	13:56, 11 March 2017
29 Cape sparrow	21:17, 3 April 2017	16:53, 8 March 2017
30 Amargasaurus	21:09, 3 April 2017	15:03, 4 March 2017
/March 2017
1 Andha Naal	22:39, 31 March 2017	10:36, 26 January 2017
2 SMS Kaiser Friedrich III	22:34, 31 March 2017	18:14, 21 February 2017
3 William T. Stearn	22:27, 31 March 2017	21:32, 24 February 2017
4 Sino-Roman relations	16:03, 31 March 2017	11:23, 2 February 2017
5 Alan Shepard	13:44, 31 March 2017	00:13, 16 February 2017
6 Lion-class battlecruiser	11:08, 28 March 2017	17:55, 22 February 2017
7 The Magazine of Fantasy & Science Fiction	21:52, 27 March 2017	17:42, 11 March 2017
8 White-naped xenopsaris	21:44, 27 March 2017	07:22, 7 March 2017
9 Mit Fried und Freud ich fahr dahin, BWV 125	21:39, 27 March 2017	17:23, 4 December 2016
10 Maine Centennial half dollar	21:35, 27 March 2017	20:49, 7 March 2017
11 York City War Memorial	21:32, 27 March 2017	
12 Golden swallow (bird)	21:23, 27 March 2017	23:38, 8 March 2017
13 Operation Mincemeat	21:23, 27 March 2017	08:55, 1 March 2017
14 North Ronaldsay sheep	21:18, 27 March 2017	20:50, 13 February 2017
15 Dr. Jekyll and Mr. Hyde (1887 play)	20:47, 18 March 2017	06:41, 4 March 2017
16 1954 Guatemalan coup d'état	20:04, 18 March 2017	10:25, 2 February 2017
17 Kona Lanes	23:27, 17 March 2017	02:07, 22 January 2017
18 Hrithik Roshan	14:04, 13 March 2017	22:43, 26 January 2017
19 John C. Calhoun	11:33, 13 March 2017	18:37, 14 January 2017
20 Carnaby's black cockatoo	23:47, 10 March 2017	23:47, 27 February 2017
21 1896 Cedar Keys hurricane	23:44, 10 March 2017	02:41, 27 February 2017
22 Red-headed myzomela	23:42, 10 March 2017	03:40, 25 February 2017
23 Other Worlds, Universe Science Fiction, and Science Stories	23:40, 10 March 2017	03:12, 25 February 2017
24 Eve Russell	23:37, 10 March 2017	01:46, 6 February 2017
25 Courtney Love	23:34, 10 March 2017	06:52, 5 February 2017
26 Project Y	23:30, 10 March 2017	21:33, 4 February 2017
27 August Meyszner	23:26, 10 March 2017	05:11, 17 January 2017
28 Pilgrim Tercentenary half dollar	22:31, 6 March 2017	23:35, 13 February 2017
29 North Eastern Railway War Memorial	22:12, 6 March 2017	
30 Rodrigues parrot	13:07, 4 March 2017	09:31, 22 February 2017
31 Interstate 675 (Michigan)	14:11, 4 March 2017	20:27, 28 January 2017
32 CMLL World Heavyweight Championship	14:08, 4 March 2017	15:31, 2 January 2017
33 Archie vs. Predator	22:26, 3 March 2017	19:33, 29 December 2016
34 Operation Pamphlet	21:48, 3 March 2017	10:00, 30 January 2017
/February 2017
1 Oran fatwa	23:18, 28 February 2017	06:58, 28 January 2017
2 Ben Crosby	23:34, 28 February 2017	05:19, 18 December 2016
3 Henry Conwell	22:23, 27 February 2017	16:14, 28 January 2017
4 White-rumped swallow	21:37, 27 February 2017	15:37, 9 February 2017
5 Yellow-faced honeyeater	23:46, 24 February 2017	01:03, 14 February 2017
6 Fantasy Book	23:47, 24 February 2017	23:23, 13 February 2017
7 Japanese aircraft carrier Jun'yō	09:21, 22 February 2017	02:55, 27 January 2017
8 Nemegtomaia	08:54, 22 February 2017	22:06, 20 January 2017
9 Nyuserre Ini	21:39, 21 February 2017	10:48, 5 January 2017
10 Piano Concerto No. 24 (Mozart)	10:31, 21 February 2017	06:08, 23 December 2016
11 Æthelflæd	21:59, 20 February 2017	15:54, 22 January 2017
12 Corvus (constellation)	21:46, 18 February 2017	23:24, 28 January 2017
13 King Kalākaua's world tour	21:59, 18 February 2017	00:14, 1 January 2017
14 Great spotted woodpecker	10:52, 18 February 2017	07:54, 9 February 2017
15 No. 37 Squadron RAAF	10:51, 18 February 2017	13:32, 4 February 2017
16 House of Music	23:37, 17 February 2017	23:02, 13 January 2017
17 Zenobia	22:53, 17 February 2017	16:16, 8 January 2017
18 Ninety-five Theses	22:31, 17 February 2017	18:17, 7 January 2017
19 Gabriel Pleydell	21:44, 17 February 2017	18:40, 4 December 2016
20 Nike-X	13:33, 16 February 2017	13:21, 14 November 2016
21 Grey jay	21:49, 13 February 2017	23:57, 28 January 2017
22 Coinage Act of 1965	21:35, 13 February 2017	22:38, 21 January 2017
23 History of US science fiction and fantasy magazines to 1950	21:28, 13 February 2017	12:37, 16 January 2017
24 Virgin and Child Enthroned (van der Weyden)	21:17, 13 February 2017	Nominator(s): Ceoil,
25 Nelson Mandela	15:04, 10 February 2017	00:11, 14 November 2016
26 Wolfenstein 3D	00:09, 7 February 2017	15:57, 14 December 2016
27 Prince Romerson	12:22, 4 February 2017	08:38, 29 December 2016
28 Yesterday's Enterprise	21:31, 4 February 2017	14:13, 29 December 2016
/January 2017
1 Siberian accentor	13:39, 31 January 2017	07:42, 14 January 2017
2 Spalding War Memorial	13:25, 31 January 2017	
3 Richard Feynman	12:41, 31 January 2017	21:20, 13 December 2016
4 Australia women's national wheelchair basketball team at the 2012 Summer Paralympics	12:23, 31 January 2017	00:03, 11 December 2016
5 Red wattlebird	22:15, 28 January 2017	05:55, 7 January 2017
6 Apus	22:12, 28 January 2017	12:51, 22 December 2016
7 God of War: Ascension	21:50, 28 January 2017	18:50, 12 December 2016
8 Burning Rangers	21:35, 28 January 2017	21:05, 27 November 2016
9 Viking metal	11:42, 28 January 2017	13:46, 31 October 2016
10 Operation Paravane	11:20, 28 January 2017	04:58, 23 December 2016
11 Aitraaz	10:49, 28 January 2017	20:52, 10 December 2016
12 Interstate 94 in Michigan	10:18, 28 January 2017	14:31, 14 December 2016
13 Dark Angel (TV series)	04:21, 25 January 2017	01:02, 15 November 2016
14 Russell family (Passions)	01:20, 23 January 2017	14:37, 31 December 2016
15 Red-throated loon	11:53, 22 January 2017	14:27, 7 January 2017
16 Mangrove swallow	11:57, 22 January 2017	18:54, 27 December 2016
17 Millard Fillmore	10:08, 21 January 2017	12:29, 31 December 2016
18 Grasshopper	09:59, 21 January 2017	LittleJerry, Chiswick Chap and
19 The American Bible Challenge	10:16, 21 January 2017	03:17, 26 November 2016
20 Sabre Wulf	09:40, 21 January 2017	06:48, 23 November 2016
21 Jennifer Lawrence	20:31, 17 January 2017	(talk / edits) and
22 2003 Cricket World Cup Final	23:27, 16 January 2017	18:21, 30 December 2016
23 SMS Schwaben	00:16, 17 January 2017	13:24, 21 November 2016
24 Yugoslav destroyer Dubrovnik	20:47, 16 January 2017	06:23, 20 November 2016
25 2012 Tour de France	20:26, 16 January 2017	21:21, 19 October 2016
26 Musidora: The Bather 'At the Doubtful Breeze Alarmed'	23:54, 15 January 2017	17:25, 7 December 2016
27 Paranthodon	21:53, 13 January 2017	02:25, 27 November 2016
28 Analog Science Fiction and Fact	00:37, 8 January 2017	16:53, 12 November 2016
29 Water pipit	11:13, 7 January 2017	14:22, 12 December 2016
30 2014 Japanese Grand Prix	19:59, 5 January 2017	17:08, 25 November 2016
/December 2016
1 Devon County War Memorial	23:14, 31 December 2016	
2 Cliff Clinkscales	14:18, 25 December 2016	23:54, 6 October 2016
3 Operation Infinite Reach	14:28, 25 December 2016	16:26, 20 August 2016
4 Belgium national football team	14:31, 24 December 2016	19:06, 27 September 2016
5 Tidus	13:59, 22 December 2016	01:31, 5 December 2016
6 Banksia aculeata	12:38, 22 December 2016	21:35, 19 November 2016
7 Jochen Rindt	14:23, 22 December 2016	12:29, 25 October 2016
8 Nominative determinism	12:48, 22 December 2016	18:57, 12 October 2016
9 Tahiti rail	03:40, 17 December 2016	14:47, 19 November 2016
10 Love, Inc. (TV series)	03:52, 17 December 2016	20:32, 12 November 2016
11 Bee-eater	03:03, 17 December 2016	07:11, 5 November 2016
12 Alabama Centennial half dollar	04:15, 17 December 2016	22:56, 30 October 2016
13 Montreal Laboratory	11:54, 10 December 2016	11:59, 10 September 2016
14 Dick Cresswell	12:51, 5 December 2016	13:20, 1 November 2016
15 Gottlob Berger	13:14, 2 December 2016	10:34, 19 August 2016
/November 2016
1 After the Deluge (painting)	22:26, 30 November 2016	10:42, 13 November 2016
2 Bradley Cooper	22:35, 30 November 2016	16:55, 4 October 2016
3 Seri Rambai	23:11, 30 November 2016	12:31, 4 October 2016
4 The Pale Emperor	22:47, 30 November 2016	20:04, 6 September 2016
5 Ike Altgens	14:59, 26 November 2016	07:49, 30 September 2016
6 California State Route 76	13:36, 26 November 2016	19:20, 4 September 2016
7 Super Mario Galaxy	14:49, 26 November 2016	21:22, 29 August 2016
8 SMS Mecklenburg	17:38, 20 November 2016	12:30, 18 October 2016
9 Crucifix (Cimabue, Santa Croce)	05:05, 20 November 2016	Ceoil, Kafka
10 Night of January 16th	05:17, 20 November 2016	22:51, 5 September 2016
11 Turbinellus floccosus	15:20, 19 November 2016	22:10, 8 October 2016
12 Northampton War Memorial	14:20, 19 November 2016	
13 Giganotosaurus	14:41, 19 November 2016	17:10, 30 September 2016
14 Aries (album)	14:10, 19 November 2016	20:06, 13 September 2016
15 First Tennessee Park	14:59, 19 November 2016	14:56, 3 September 2016
16 2015 Formula One season	14:31, 19 November 2016	13:11, 31 August 2016
17 Ghost Stories (magazine)	07:12, 12 November 2016	11:24, 19 October 2016
18 Hands Across Hawthorne	07:02, 12 November 2016	22:23, 11 August 2016
/October 2016
1 Taylor Swift	22:46, 31 October 2016	September 2016 (UTC) and
2 Sabrina Sidney	22:47, 31 October 2016	13:54, 8 August 2016
3 O. G. S. Crawford	00:47, 31 October 2016	10:42, 8 October 2016
4 The World Before the Flood	00:58, 31 October 2016	17:10, 20 September 2016
5 Eurasian rock pipit	04:32, 30 October 2016	14:18, 12 October 2016
6 Allen Walker	05:40, 30 October 2016	17:38, 6 September 2016
7 Cleveland Centennial half dollar	12:26, 29 October 2016	12:03, 15 September 2016
8 Don't Say You Love Me (M2M song)	13:25, 29 October 2016	23:25, 14 September 2016
9 Chad Harris-Crane	11:52, 29 October 2016	18:08, 9 September 2016
10 HMS Alceste (1806)	12:33, 29 October 2016	17:01, 2 September 2016
11 Turboliner	14:09, 29 October 2016	00:05, 1 September 2016
12 Ontario Highway 420	12:14, 29 October 2016	01:15, 16 August 2016
13 Hope (painting)	14:14, 22 October 2016	15:55, 28 September 2016
14 Secretariat (horse)	14:01, 22 October 2016	September 2016 (UTC) User:Jlvsclrk
15 Eega	14:39, 22 October 2016	04:27, 1 September 2016
16 Neal Dow	12:55, 22 October 2016	12:43, 12 August 2016
17 Heavy metals	14:22, 22 October 2016	01:59, 7 August 2016
18 Weird Tales	16:01, 15 October 2016	10:45, 24 August 2016
19 SMS Kaiser Karl der Grosse	15:44, 15 October 2016	18:30, 22 August 2016
20 Divisional Cavalry Regiment (New Zealand)	15:02, 15 October 2016	09:45, 8 August 2016
21 Pallas's leaf warbler	21:39, 8 October 2016	13:08, 25 September 2016
22 Gomphus clavatus	21:35, 8 October 2016	13:39, 21 August 2016
23 European hare	00:32, 5 October 2016	21:03, 13 September 2016
/September 2016
1 Lieutenant Kijé (Prokofiev)	23:10, 30 September 2016	17:07, 16 September 2016
2 Stegoceras	23:02, 30 September 2016	21:59, 19 August 2016
3 Paul Palaiologos Tagaris	23:23, 30 September 2016	19:42, 5 August 2016
4 Burke and Hare murders	12:10, 29 September 2016	12:14, 12 September 2016
5 Bud Dunn	11:13, 29 September 2016	21:03, 1 August 2016
6 Zero Escape: Virtue's Last Reward	11:12, 29 September 2016	09:09, 20 July 2016
7 Josephine Butler	13:58, 24 September 2016	20:19, 28 August 2016
8 History of Liverpool F.C. (1985–present)	14:04, 24 September 2016	13:44, 4 July 2016
9 Vladimir Lenin	14:37, 24 September 2016	11:48, 25 June 2016
10 Vincent van Gogh	06:19, 15 September 2016	Nominator(s): Modernist, Ceoil, Victoriaearle,
11 Komm, du süße Todesstunde, BWV 161	07:13, 15 September 2016	21:55, 24 July 2016
12 William Borah	02:35, 15 September 2016	21:13, 6 August 2016
13 Lazarus Aaronson	01:15, 15 September 2016	20:44, 28 July 2016
14 Ride the Lightning	01:16, 15 September 2016	17:42, 31 July 2016
15 Cortinarius violaceus	01:17, 15 September 2016	01:58, 1 August 2016
16 2003–04 Arsenal F.C. season	01:19, 15 September 2016	17:16, 10 July 2016
17 CMLL World Middleweight Championship	01:20, 15 September 2016	22:31, 17 July 2016
18 J. R. Kealoha	01:22, 13 September 2016	19:07, 18 July 2016
19 St Botolph's Church, Quarrington	01:21, 13 September 2016	17:25, 18 July 2016
20 The Ecstatic	01:20, 13 September 2016	18:16, 9 July 2016
21 Candaules, King of Lydia, Shews his Wife by Stealth to Gyges, One of his Ministers, as She Goes to Bed	00:54, 10 September 2016	15:49, 10 August 2016
22 Title TK	00:57, 10 September 2016	04:00, 9 August 2016
23 Yugoslav monitor Drava	15:25, 9 September 2016	2016 (UTC) and 23
24 Chicago Pile-1	15:12, 9 September 2016	23:16, 18 July 2016
25 The Left Hand of Darkness	14:45, 9 September 2016	17:15, 8 July 2016
26 38th (Welsh) Infantry Division	14:16, 9 September 2016	22:44, 16 June 2016
27 Bluebuck	04:21, 3 September 2016	13:26, 26 July 2016
28 Yugoslav torpedo boat T1	04:26, 3 September 2016	00:05, 18 July 2016
/August 2016
1 Emma Stone	16:09, 26 August 2016‎	19:36, 30 July 2016
2 California State Route 94	15:56, 26 August 2016	00:09, 11 July 2016
3 Did You Hear What Happened to Charlotte King?	15:42, 26 August 2016	06:31, 9 July 2016
4 Canadian National Vimy Memorial	15:34, 26 August 2016	21:25, 7 June 2016
5 No Me Queda Más	15:24, 26 August 2016	19:02, 1 June 2016
6 Science-Fiction Plus	01:52, 24 August 2016	18:40, 26 June 2016
7 The Boat Races 2016	11:15, 21 August 2016	14:39, 21 July 2016
8 Wrestle Kingdom 9	13:44, 19 August 2016	Nominator(s): リボン・サルミネン (Ribbon
9 Rare Replay	13:13, 19 August 2016	23:59, 4 July 2016
10 Lynx (constellation)	13:03, 19 August 2016	03:22, 19 June 2016
11 HMS Emerald (1795)	13:18, 19 August 2016	16:10, 19 May 2016
12 No. 91 Wing RAAF	19:48, 14 August 2016	14:07, 23 June 2016
13 Millipede	14:50, 12 August 2016	09:07, 27 June 2016
14 Heffernan v. City of Paterson	14:14, 12 August 2016	18:48, 30 May 2016
15 Slug (song)	13:05, 12 August 2016	20:39, 23 May 2016
16 Mr. Dooley	12:20, 6 August 2016	03:08, 15 July 2016
17 The Dawn of Love (painting)	12:13, 6 August 2016	18:23, 10 July 2016
18 An Introduction to Animals and Political Theory	11:30, 6 August 2016	14:43, 11 June 2016
19 Interstate 275 (Michigan)	11:20, 6 August 2016	16:02, 31 May 2016
20 Peter Martyr Vermigli	10:43, 6 August 2016	03:43, 21 May 2016
/July 2016
1 Catherine Zeta-Jones	04:55, 30 July 2016	20:00, 15 July 2016
2 SMS Körös	03:55, 22 July 2016	02:18, 20 April 2016
3 Theodore Komnenos Doukas	03:26, 22 July 2016	17:03, 10 April 2016
4 Hawaii Sesquicentennial half dollar	15:14, 18 July 2016	09:42, 19 May 2016
5 Douglas MacArthur's escape from the Philippines	15:13, 18 July 2016	04:18, 18 May 2016
6 Margaret Lea Houston	15:11, 18 July 2016	21:06, 2 May 2016
7 Henry Hoʻolulu Pitman	15:11, 18 July 2016	17:47, 2 May 2016
8 2008 UAW-Dodge 400	15:09, 18 July 2016	06:13, 28 April 2016
9 The Man Trap	23:39, 16 July 2016	08:15, 4 June 2016
10 Milos Raonic	23:48, 16 July 2016	18:36, 29 April 2016
11 CMLL World Light Heavyweight Championship	23:28, 16 July 2016	00:58, 11 April 2016
12 Impala	14:23, 9 July 2016	11:43, 27 May 2016
13 Agharta (album)	15:07, 9 July 2016	13:22, 16 May 2016
14 Old Pine Church	14:40, 9 July 2016	19:02, 23 April 2016
15 Dr. No (novel)	14:44, 6 July 2016	07:39, 15 June 2016
/June 2016
1 Amazing Stories Quarterly	17:39, 26 June 2016	12:21, 29 May 2016
2 English Benedictine Reform	14:14, 25 June 2016	19:10, 5 June 2016
3 Requiem (Reger)	23:44, 18 June 2016	22:19, 20 May 2016
4 Antlia	23:11, 18 June 2016	04:39, 15 May 2016
5 Kalki Koechlin	23:38, 18 June 2016	17:09, 4 May 2016
6 Blast Corps	23:27, 18 June 2016	18:17, 22 April 2016
7 Nothomyrmecia	14:50, 11 June 2016	10:48, 28 April 2016
8 Meteorological history of Hurricane Patricia	14:24, 11 June 2016	18:50, 21 April 2016
9 Dorset Ooser	14:16, 11 June 2016	10:55, 12 April 2016
10 Freida Pinto	13:55, 11 June 2016	19:05, 25 March 2016
11 Borscht	13:30, 5 June 2016	12:32, 23 April 2016
12 Portrait of Maria Portinari	12:52, 5 June 2016	Nominator(s):
13 The Good Terrorist	12:44, 5 June 2016	11:13, 1 March 2016
14 Nights into Dreams...	13:07, 5 June 2016	23:24, 29 February 2016
/May 2016
1 History of the New York Yankees	09:00, 31 May 2016	02:31, 2 May 2016
2 Michael Francis Egan	08:12, 31 May 2016	17:18, 9 April 2016
3 God of War (series)	07:53, 31 May 2016	16:02, 29 March 2016
4 George Tucker (politician)	17:00, 28 May 2016	21:27, 8 April 2016
5 Walt Disney	15:55, 21 May 2016	07:11, 7 May 2016
6 William Howard Taft	02:44, 18 May 2016	17:17, 23 April 2016
7 Baleen whale	02:44, 18 May 2016	23:56, 20 March 2016
8 Reg Pollard (general)	01:53, 17 May 2016	00:32, 9 April 2016
9 William Harper (Rhodesian politician)	01:52, 17 May 2016	07:46, 7 April 2016
10 New wave of British heavy metal	01:52, 17 May 2016	19:48, 27 March 2016
11 Hasan al-Kharrat	01:50, 17 May 2016	21:15, 19 March 2016
12 Isidor Isaac Rabi	01:50, 17 May 2016	04:06, 3 March 2016
13 Springbok	13:11, 14 May 2016	14:27, 9 April 2016
14 Lesser Antillean macaw	13:18, 14 May 2016	15:45, 8 April 2016
15 Ficus rubiginosa	13:32, 14 May 2016	00:52, 16 March 2016
16 Teleost	17:40, 8 May 2016	00:48, 14 March 2016
17 S. O. Davies	23:07, 6 May 2016	19:24, 21 April 2016
18 From Russia, with Love (novel)	23:07, 6 May 2016	11:11, 18 April 2016
19 Allied naval bombardments of Japan during World War II	23:06, 6 May 2016	07:39, 3 April 2016
20 U.S. Route 16 in Michigan	21:14, 6 May 2016	02:03, 5 March 2016
21 Boise National Forest	21:15, 6 May 2016	02:49, 18 January 2016
/April 2016
1 Djedkare Isesi	14:10, 30 April 2016	09:11, 9 April 2016
2 Knight Lore	14:32, 30 April 2016	17:03, 2 March 2016
3 Maxinquaye	14:24, 30 April 2016	07:12, 24 February 2016
4 Gudovac massacre	14:18, 30 April 2016	01:13, 18 February 2016
5 The Phantom Tollbooth	14:48, 23 April 2016	05:34, 2 April 2016
6 Literary Hall	14:27, 23 April 2016	18:35, 24 January 2016
7 7th Army (Kingdom of Yugoslavia)	14:22, 23 April 2016	10:01, 22 January 2016
8 Saint Luke Drawing the Virgin	11:59, 14 April 2016	Nominator(s): Ceoil, Victoria,
9 Huguenot-Walloon half dollar	11:52, 14 April 2016	10:18, 20 February 2016
10 2007 Coca-Cola 600	11:51, 14 April 2016	
11 Senghenydd colliery disaster	15:57, 8 April 2016	11:59, 30 March 2016
12 No. 90 Wing RAAF	15:38, 8 April 2016	09:48, 18 March 2016
13 George Bernard Shaw	15:38, 8 April 2016	12:45, 13 March 2016
14 Spotted green pigeon	15:38, 8 April 2016	13:08, 11 March 2016
15 Isopogon anethifolius	15:38, 8 April 2016	23:38, 27 February 2016
16 Operation Ironside	15:37, 8 April 2016	21:45, 4 February 2016
17 Hartebeest	15:37, 8 April 2016	16:17, 26 January 2016
/March 2016
1 Nelson's Pillar	20:23, 30 March 2016	22:00, 23 March 2016
2 Typhoon Nabi	20:13, 30 March 2016	01:47, 17 February 2016
3 Rejoined	20:04, 30 March 2016	16 December 2015 (UTC),
4 Heterodontosaurus	02:13, 28 March 2016	11:11, 2 February 2016
5 Margaret Murray	01:04, 28 March 2016	11:36, 13 January 2016
6 Persona (series)	00:37, 28 March 2016	21:03, 10 January 2016
7 Thunder (mascot)	09:05, 16 March 2016	24 February 2016 (UTC)
8 Monroe Edwards	08:51, 16 March 2016	17:43, 29 December 2015
9 The Oceanides	08:09, 16 March 2016	23:02, 13 December 2015
10 Isopogon anemonifolius	02:28, 16 March 2016	20:11, 17 January 2016
11 William Sterndale Bennett	12:07, 11 March 2016	10:46, 2 February 2016
12 Christ lag in Todes Banden, BWV 4	12:47, 11 March 2016	and Thoughtfortheday (talk ·
13 Passenger pigeon	12:38, 11 March 2016	19:40, 2 January 2016
14 History of York City F.C. (1980–present)	13:19, 11 March 2016	21:03, 1 January 2016
15 Serpin	13:03, 11 March 2016	03:40, 1 January 2016
16 Sexuality after spinal cord injury	14:07, 11 March 2016	20:27, 31 December 2015
17 Westminster Assembly	12:25, 11 March 2016	02:37, 14 December 2015
18 Siege of Sidney Street	11:26, 4 March 2016	16:47, 23 February 2016
19 Mortara case	11:25, 4 March 2016	19:55, 22 February 2016
20 Sonam Kapoor	10:19, 4 March 2016	20:44, 10 January 2016
21 U.S. Route 25 in Michigan	11:12, 4 March 2016	23:30, 9 January 2016
22 Hex Enduction Hour	11:13, 4 March 2016	18:17, 13 December 2015
/February 2016
1 Persoonia terminalis	22:33, 27 February 2016	05:09, 24 January 2016
2 Jumping Flash!	22:30, 27 February 2016	16:01, 19 November 2015
3 Calutron	22:46, 22 February 2016	01:42, 21 December 2015
4 House of Plantagenet	22:51, 22 February 2016	15:18, 16 November 2015
5 Michael Hordern	10:20, 20 February 2016	17:07, 13 February 2016
6 William McKinley presidential campaign, 1896	09:39, 20 February 2016	11:04, 24 January 2016
7 70th Infantry Division (United Kingdom)	08:02, 20 February 2016	20:08, 1 January 2016
8 Baron Munchausen	08:43, 20 February 2016	18:57, 14 December 2015
9 William Etty	09:58, 20 February 2016	10:57, 8 December 2015
10 The Last of Us	08:50, 20 February 2016	05:22, 6 December 2015
11 Migration of the Serbs	13:05, 20 February 2016	04:14, 29 November 2015
12 Black American Sign Language	12:02, 20 February 2016	22:51, 22 November 2015
13 Hurricane Juan (1985)	23:04, 13 February 2016	16:23, 7 December 2015
14 Jacob van Ruisdael	09:17, 5 February 2016	14:05, 27 December 2015
15 History of Liverpool F.C. (1959–85)	09:26, 5 February 2016	19:52, 5 December 2015
16 Triturus	08:19, 5 February 2016	19:01, 11 November 2015
/January 2016
1 Handel's lost Hamburg operas	13:22, 30 January 2016	00:07, 19 January 2016
2 Allah jang Palsoe	13:39, 30 January 2016	14:26, 16 January 2016
3 South Park: The Stick of Truth	14:12, 30 January 2016	18:29, 16 December 2015
4 Juan Manuel de Rosas	13:31, 30 January 2016	2015 (UTC) • Astynax
5 Killer Instinct Gold	15:55, 26 January 2016	00:55, 7 December 2015
6 Temperatures Rising	20:25, 24 January 2016	16:43, 11 November 2015
7 Union Station (Erie, Pennsylvania)	20:24, 24 January 2016	00:16, 6 November 2015
8 Palmyra	20:23, 24 January 2016	00:04, 26 October 2015
9 Isabella Beeton	23:09, 23 January 2016	14:25, 16 January 2016
10 Banksia caleyi	23:14, 23 January 2016	23:40, 30 December 2015
11 Lexington-Concord Sesquicentennial half dollar	23:18, 23 January 2016	23:28, 30 December 2015
12 Peresvet-class battleship	23:22, 23 January 2016	16:33, 8 December 2015
13 Norodom Ranariddh	23:00, 23 January 2016	07:45, 2 December 2015
14 Yugoslav monitor Sava	22:33, 23 January 2016	11:24, 2 November 2015
15 Albert Ketèlbey	14:08, 16 January 2016	15:25, 8 January 2016
16 Panggilan Darah	13:43, 16 January 2016	23:51, 27 December 2015
17 Seiken Densetsu 3	14:03, 16 January 2016	03:23, 15 November 2015
18 Mayabazar	22:39, 9 January 2016	November 2015 (UTC), Ssven2,
/December 2015
1 Wendell Willkie	23:07, 30 December 2015	22:44, 12 December 2015
2 Todd Manning	00:00, 31 December 2015	17:40, 20 November 2015
3 Telopea truncata	23:15, 30 December 2015	05:44, 15 November 2015
4 Bristol	23:29, 30 December 2015	07:53, 15 October 2015
5 Murder of Dwayne Jones	23:20, 30 December 2015	17:04, 13 October 2015
6 Marilyn Monroe	22:32, 26 December 2015	13:53, 26 November 2015
7 Oppenheimer security hearing	22:47, 26 December 2015	19:54, 30 October 2015
8 Hygrophoropsis aurantiaca	15:53, 19 December 2015	11:15, 24 November 2015
9 Andrew Sledd	15:27, 19 December 2015	19:47, 3 November 2015
10 William Sterling Parsons	15:40, 19 December 2015	23:02, 16 October 2015
11 Bessie Braddock	03:02, 12 December 2015	22:06, 29 November 2015
12 George Mason	03:23, 12 December 2015	15:38, 23 November 2015
13 Gregor MacGregor	06:56, 12 December 2015	12:36, 21 November 2015
14 Capon Lake Whipple Truss Bridge	04:37, 12 December 2015	16:35, 31 October 2015
15 Sheshi	12:19, 5 December 2015	20:49, 17 November 2015
16 Vampire: The Masquerade – Bloodlines	11:33, 5 December 2015	23:17, 24 October 2015
17 Britomart Redeems Faire Amoret	11:29, 5 December 2015	09:43, 22 October 2015
18 Battle of Kalavrye	11:25, 5 December 2015	10:15, 17 October 2015
19 Shōkaku-class aircraft carrier	11:13, 5 December 2015	15:38, 16 October 2015
20 SMS Kaiser Barbarossa	12:49, 5 December 2015	12:06, 16 October 2015
21 2015 Vuelta a España	10:40, 5 December 2015	12:20, 11 October 2015
22 2006 Subway 500	09:59, 5 December 2015	20:05, 7 October 2015
/November 2015
1 Hurricane Fay (2014)	06:43, 28 November 2015	19:20, 31 October 2015
2 Stefan Lochner	15:13, 23 November 2015	03:36, 7 November 2015
3 Suillus bovinus	15:14, 23 November 2015	01:58, 23 October 2015
4 From The Doctor to my son Thomas	15:15, 23 November 2015	01:08, 20 October 2015
5 Norse-American medal	15:15, 23 November 2015	06:02, 16 October 2015
6 Smilodon	15:16, 23 November 2015	20:23, 15 October 2015
7 History of York City F.C. (1908–80)	15:17, 23 November 2015	17:33, 7 October 2015
8 2006 UAW-Ford 500	15:17, 23 November 2015	16:05, 26 September 2015
9 Smooth toadfish	23:43, 14 November 2015	08:47, 9 October 2015
10 Baryonyx	23:46, 14 November 2015	00:57, 12 October 2015
11 Operation Copperhead	23:48, 14 November 2015	15:12, 12 October 2015
12 Tank Girl (film)	23:52, 14 November 2015	09:33, 16 October 2015
13 Final Fantasy Type-0	23:56, 14 November 2015	10:06, 6 October 2015
14 Ralph Vaughan Williams	23:35, 14 November 2015	12:08, 5 November 2015
15 Runaway Scrape	20:37, 7 November 2015	12:17, 26 September 2015
